,const,f,0,1,2,3,4,5,6,7
0,0.00031081180049565704,0.01,66,1616,157,67,55,31,35,45
0,0.0009976992978044104,0.01,66,1616,157,67,55,31,35,45
0,186.96368204275922,0.01,66,555,306,154,279,226,216,270
0,679.1160293112621,0.01,66,251,284,114,208,247,323,579
0,89.0532724780477,0.01,66,766,321,157,280,153,142,187
0,0.039615574219693396,0.01,66,1614,159,67,55,31,35,45
0,0.04135603043680708,0.01,66,1614,159,67,55,31,35,45
0,0.0016985435724467066,0.01,66,1616,157,67,55,31,35,45
0,0.0007960988361315046,0.01,66,1616,157,67,55,31,35,45
0,2.328747352283724,0.01,66,1530,199,83,72,34,38,50
0,0.06024578147970256,0.01,66,1614,159,67,55,31,35,45
0,320.01356611923086,0.01,66,419,306,129,238,271,252,391
0,0.005084349679565325,0.01,66,1616,157,67,55,31,35,45
0,0.004235216590477655,0.01,66,1616,157,67,55,31,35,45
0,0.009690111543218333,0.01,66,1615,158,67,55,31,35,45
0,42.87565196019144,0.01,66,956,344,159,221,112,91,123
0,7.973222395642528,0.01,66,1399,232,118,97,44,46,70
0,0.0007708365886698096,0.01,66,1616,157,67,55,31,35,45
0,0.9961684377766613,0.01,66,1582,176,74,60,31,37,46
0,1.4279672245911004,0.01,66,1567,179,78,64,33,38,47
0,14.793014589198828,0.01,66,1263,268,134,146,59,58,78
0,0.0002156641340812472,0.01,66,1616,157,67,55,31,35,45
0,0.000730501659835215,0.01,66,1616,157,67,55,31,35,45
0,21.205188987336545,0.01,66,1161,295,148,176,74,65,87
0,0.0029229537304277585,0.01,66,1616,157,67,55,31,35,45
0,0.011446856244041419,0.01,66,1615,158,67,55,31,35,45
0,0.3037345281216978,0.01,66,1606,164,69,56,31,35,45
0,0.005630974074850108,0.01,66,1616,157,67,55,31,35,45
0,0.4796159651782416,0.01,66,1602,166,71,56,31,35,45
0,77.02449795881422,0.01,66,804,323,165,267,146,128,173
0,0.0010527876465212947,0.01,66,1616,157,67,55,31,35,45
0,0.12580557874456688,0.01,66,1611,160,69,55,31,35,45
0,1.2023382832652425,0.01,66,1576,178,76,60,33,37,46
0,0.030772495787476817,0.01,66,1614,159,67,55,31,35,45
0,1.8581881944561998,0.01,66,1548,189,81,67,34,38,49
0,994.6399266855403,0.01,66,178,265,131,158,235,333,706
0,0.023647828317112006,0.01,66,1614,159,67,55,31,35,45
0,0.39524430581106607,0.01,66,1604,165,70,56,31,35,45
0,216.16145722047665,0.01,66,523,301,154,269,238,230,291
0,77.8568984677206,0.01,66,801,324,164,268,144,130,175
0,0.00025339688224446,0.01,66,1616,157,67,55,31,35,45
0,2.069054469555869,0.01,66,1541,191,81,72,34,38,49
0,69.54737782663334,0.01,66,823,345,160,251,142,124,161
0,0.06965425463251486,0.01,66,1614,159,67,55,31,35,45
0,0.20738257249545441,0.01,66,1609,161,69,56,31,35,45
0,140.62073053059845,0.01,66,635,310,159,280,206,187,229
0,0.015466657394859341,0.01,66,1615,158,67,55,31,35,45
0,0.0001657320372105616,0.01,66,1616,157,67,55,31,35,45
0,0.23091624401116498,0.01,66,1608,162,69,56,31,35,45
0,0.09411479182820978,0.01,66,1614,159,67,55,31,35,45
0,883.7215354809798,0.01,66,201,275,124,166,243,326,671
0,0.004280986397989118,0.01,66,1616,157,67,55,31,35,45
0,414.19584241064706,0.01,66,365,310,119,227,261,274,450
0,0.18826008600290506,0.01,66,1610,161,69,55,31,35,45
0,0.043874691052025565,0.01,66,1614,159,67,55,31,35,45
0,0.00019472863068347742,0.01,66,1616,157,67,55,31,35,45
0,0.0010248734047049195,0.01,66,1616,157,67,55,31,35,45
0,10.715439863926019,0.01,66,1338,253,134,109,47,52,73
0,654.041343139632,0.01,66,263,285,111,209,249,320,569
0,207.0643667080153,0.01,66,526,312,155,267,234,227,285
0,0.18624731906150765,0.01,66,1610,161,69,55,31,35,45
0,16.829660627449144,0.01,66,1236,274,137,153,64,61,81
0,0.00014489509520418766,0.01,66,1616,157,67,55,31,35,45
0,0.0012775231819668713,0.01,66,1616,157,67,55,31,35,45
0,0.39312576735479565,0.01,66,1604,165,70,56,31,35,45
0,1.5561950205388257,0.01,66,1562,182,79,64,33,38,48
0,0.0016803837361068306,0.01,66,1616,157,67,55,31,35,45
0,48.77860880347625,0.01,66,931,333,159,232,118,99,134
0,0.001047144627551382,0.01,66,1616,157,67,55,31,35,45
0,1.2417419230132345,0.01,66,1576,178,76,60,33,37,46
0,2.780661023055109,0.01,66,1520,204,84,75,34,39,50
0,1.3316030818016409,0.01,66,1572,179,76,62,33,38,46
0,0.522684249279621,0.01,66,1600,166,72,57,31,35,45
0,0.004541706581261468,0.01,66,1616,157,67,55,31,35,45
0,0.011324473139262749,0.01,66,1615,158,67,55,31,35,45
0,0.4668991403986028,0.01,66,1603,165,71,56,31,35,45
0,0.22479359250023975,0.01,66,1609,161,69,56,31,35,45
0,0.004035233058732192,0.01,66,1616,157,67,55,31,35,45
0,0.31537912528979156,0.01,66,1606,164,69,56,31,35,45
0,0.06600951404167521,0.01,66,1614,159,67,55,31,35,45
0,13.072905567159298,0.01,66,1288,263,134,134,54,57,76
0,640.1308477595194,0.01,66,266,285,113,210,254,312,566
0,273.82882301933734,0.01,66,462,308,137,240,266,248,345
0,0.16459076678025136,0.01,66,1611,160,69,55,31,35,45
0,1.9190856799787255,0.01,66,1546,189,81,69,34,38,49
0,0.0012503521468218632,0.01,66,1616,157,67,55,31,35,45
0,0.008987754828889832,0.01,66,1615,158,67,55,31,35,45
0,371.98335562693734,0.01,66,395,295,131,228,262,266,429
0,0.3868380419751933,0.01,66,1604,165,70,56,31,35,45
0,0.12116051771006348,0.01,66,1611,160,69,55,31,35,45
0,46.97757885447566,0.01,66,936,338,161,228,115,98,130
0,36.88549521346978,0.01,66,1007,333,154,213,103,81,115
0,13.072905567159298,0.01,66,1288,263,134,134,54,57,76
0,0.0003025707503778225,0.01,66,1616,157,67,55,31,35,45
0,0.23216064207341072,0.01,66,1608,162,69,56,31,35,45
0,0.016585933252690296,0.01,66,1615,158,67,55,31,35,45
0,19.24988514910692,0.01,66,1200,282,141,167,66,66,84
0,6.094362870805378,0.01,66,1442,222,107,86,41,44,64
0,0.037948364583832724,0.01,66,1614,159,67,55,31,35,45
0,5.652632487953373,0.01,66,1453,219,103,84,40,44,63
0,96.01242579816648,0.01,66,740,330,151,279,166,146,194
0,27.59393294111818,0.01,66,1097,313,154,177,90,75,100
0,0.0001767729482693293,0.01,66,1616,157,67,55,31,35,45
0,0.004304056456143625,0.01,66,1616,157,67,55,31,35,45
0,0.08635989468297156,0.01,66,1614,159,67,55,31,35,45
0,0.06155496485662912,0.01,66,1614,159,67,55,31,35,45
0,0.07469492525804364,0.01,66,1614,159,67,55,31,35,45
0,256.7259817199022,0.01,66,482,303,138,244,261,241,337
0,14.170454978431415,0.01,66,1272,264,132,144,59,59,76
0,0.0024347936142276776,0.01,66,1616,157,67,55,31,35,45
0,0.2516519307329367,0.01,66,1608,162,69,56,31,35,45
0,1.4987363535692968,0.01,66,1563,182,79,63,33,38,48
0,0.2235886823638175,0.01,66,1609,161,69,56,31,35,45
0,19.24988514910692,0.01,66,1200,282,141,167,66,66,84
0,0.02979600597450993,0.01,66,1614,159,67,55,31,35,45
0,345.02133292185573,0.01,66,406,303,129,237,269,254,408
0,0.006723713552015153,0.01,66,1616,157,67,55,31,35,45
0,0.09719916949776614,0.01,66,1614,159,67,55,31,35,45
0,0.3868380419751933,0.01,66,1604,165,70,56,31,35,45
0,0.018075307538110326,0.01,66,1615,158,67,55,31,35,45
0,12.455613447702301,0.01,66,1300,257,138,128,51,57,75
0,3.3202724707578453,0.01,66,1499,213,90,77,34,42,51
0,0.00046761664680005174,0.01,66,1616,157,67,55,31,35,45
0,0.0006250747808979487,0.01,66,1616,157,67,55,31,35,45
0,18.94199896748903,0.01,66,1203,284,141,164,65,66,83
0,0.01917612801636595,0.01,66,1615,158,67,55,31,35,45
0,309.8587190933421,0.01,66,427,310,131,233,270,251,384
0,0.0001767729482693293,0.01,66,1616,157,67,55,31,35,45
0,957.9152979932855,0.01,66,189,263,128,159,240,334,693
0,0.7738014571012038,0.01,66,1588,172,74,58,31,37,46
0,126.97003337429196,0.01,66,662,321,158,272,201,176,216
0,0.09877905983586935,0.01,66,1614,159,67,55,31,35,45
0,0.000981741912873306,0.01,66,1616,157,67,55,31,35,45
0,5.3857197139664015,0.01,66,1459,217,102,82,40,44,62
0,0.002725702753097673,0.01,66,1616,157,67,55,31,35,45
0,326.9676869035284,0.01,66,415,308,127,240,269,251,396
0,5.076548303230116,0.01,66,1465,220,96,80,40,44,61
0,0.0006922773034721468,0.01,66,1616,157,67,55,31,35,45
0,0.0003536031881674518,0.01,66,1616,157,67,55,31,35,45
0,4.759476495296562,0.01,66,1469,227,93,75,39,44,59
0,0.0014849912954695908,0.01,66,1616,157,67,55,31,35,45
0,0.02001860504424303,0.01,66,1615,158,67,55,31,35,45
0,409.767502253321,0.01,66,366,311,119,226,263,271,450
0,0.0020500789680757275,0.01,66,1616,157,67,55,31,35,45
0,0.0005348632360435102,0.01,66,1616,157,67,55,31,35,45
0,0.008336306192550132,0.01,66,1616,157,67,55,31,35,45
0,0.0006490389448292047,0.01,66,1616,157,67,55,31,35,45
0,81.71543583091672,0.01,66,789,324,161,274,147,134,177
0,85.76519980185354,0.01,66,776,321,161,278,152,134,184
0,7.930485339049392,0.01,66,1400,231,118,97,44,46,70
0,199.4190251339157,0.01,66,542,305,157,272,227,226,277
0,0.003992090702463829,0.01,66,1616,157,67,55,31,35,45
0,50.37720609963869,0.01,66,920,339,160,231,116,102,138
0,0.014345606246887717,0.01,66,1615,158,67,55,31,35,45
0,1.0343596182170698,0.01,66,1582,176,74,60,31,37,46
0,0.000561370710924873,0.01,66,1616,157,67,55,31,35,45
0,0.00018355008284649482,0.01,66,1616,157,67,55,31,35,45
0,37.08426961743248,0.01,66,1005,333,153,213,105,82,115
0,278.27967907106904,0.01,66,459,308,137,236,270,246,350
0,0.0011785747135945877,0.01,66,1616,157,67,55,31,35,45
0,7.761815604592949,0.01,66,1401,230,119,98,42,46,70
0,0.0007463759767813018,0.01,66,1616,157,67,55,31,35,45
0,0.015550006570115507,0.01,66,1615,158,67,55,31,35,45
0,0.0008816883554040072,0.01,66,1616,157,67,55,31,35,45
0,0.6207703665180956,0.01,66,1598,168,72,57,31,35,45
0,0.02135222551699013,0.01,66,1614,159,67,55,31,35,45
0,489.28644874810436,0.01,66,324,307,122,207,261,288,497
0,0.0003175659604146981,0.01,66,1616,157,67,55,31,35,45
0,18.539130567973956,0.01,66,1214,282,137,162,64,65,82
0,0.7333113880476038,0.01,66,1590,170,74,59,31,36,46
0,0.0006420997993121273,0.01,66,1616,157,67,55,31,35,45
0,0.20406565772504692,0.01,66,1609,161,69,56,31,35,45
0,0.281719303193872,0.01,66,1607,163,69,56,31,35,45
0,0.00030420129160316944,0.01,66,1616,157,67,55,31,35,45
0,96.52983277889388,0.01,66,739,330,151,279,166,147,194
0,0.3705580782538064,0.01,66,1604,165,70,56,31,35,45
0,0.0001675230963641039,0.01,66,1616,157,67,55,31,35,45
0,1.9607887670566553,0.01,66,1546,189,81,69,34,38,49
0,0.005846854782160857,0.01,66,1616,157,67,55,31,35,45
0,0.20850014857790794,0.01,66,1609,161,69,56,31,35,45
0,0.011508542877608012,0.01,66,1615,158,67,55,31,35,45
0,15.526146792383065,0.01,66,1255,271,132,149,61,59,79
0,0.15431073222232541,0.01,66,1611,160,69,55,31,35,45
0,0.9140858700503082,0.01,66,1584,176,74,58,31,37,46
0,0.033177241960960224,0.01,66,1614,159,67,55,31,35,45
0,1.7992231415403384,0.01,66,1550,188,81,67,34,38,48
0,0.09161937590433256,0.01,66,1614,159,67,55,31,35,45
0,0.003865411477927801,0.01,66,1616,157,67,55,31,35,45
0,0.5255009730218385,0.01,66,1600,166,72,57,31,35,45
0,366.03378584497494,0.01,66,398,296,129,228,263,265,427
0,53.73328776795638,0.01,66,896,344,162,232,123,108,141
0,5.683094290000776,0.01,66,1453,219,103,84,40,44,63
0,0.003970692803620645,0.01,66,1616,157,67,55,31,35,45
0,0.08407009674377394,0.01,66,1614,159,67,55,31,35,45
0,0.008471805803062563,0.01,66,1615,158,67,55,31,35,45
0,0.00011075111724674904,0.01,66,1616,157,67,55,31,35,45
0,0.00012943071365178517,0.01,66,1616,157,67,55,31,35,45
0,0.0005860337673914128,0.01,66,1616,157,67,55,31,35,45
0,0.5515444602234438,0.01,66,1600,166,72,57,31,35,45
0,0.0007625952538450181,0.01,66,1616,157,67,55,31,35,45
